Country Name,2009,2010,2011,2012,2013,2014
Aruba,24631.43486,24271.94042,25324.72036,,,
Afghanistan,445.8932979,553.3002894,603.5370231,669.0090509,638.6125432,629.3452503
Angola,3347.84485,3529.053482,4299.012889,4598.249988,4804.616884,4709.312024
Albania,4114.136545,4094.358832,4437.178068,4247.614308,4413.081697,4578.666728
Andorra,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473
Arab World,5158.208517,5917.574308,6855.527287,7343.121318,7439.379401,7452.040484
United Arab Emirates,33072.57517,35049.14832,40462.31209,42112.23565,43350.64268,44449.74035
Argentina,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645
Armenia,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355
American Samoa,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174
Antigua and Barbuda,13082.28166,12174.69786,11931.20411,12517.55793,12194.60876,12946.98694
Australia,42742.99898,51874.08048,62245.10029,67635.31555,67708.68929,62099.61441
Austria,47963.1794,46858.04327,51374.95841,48567.69529,50719.38828,51733.48192
Azerbaijan,4950.294791,5842.805784,7189.691229,7496.335728,7875.756953,7891.299776
Burundi,204.9446502,231.1943256,260.4799073,265.2856051,282.7555252,312.7489794
Belgium,44880.57302,44380.17663,47702.81189,44740.58325,46582.66955,47379.17392
Benin,793.45243,757.6959074,825.9427854,837.9505001,915.2674586,943.686575
Burkina Faso,552.7455521,575.4464527,666.8404101,673.8228182,699.781537,703.8216565
Bangladesh,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543
Bulgaria,6969.558557,6843.263289,7813.803499,7378.025539,7674.860559,7853.335191
Bahrain,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902
"Bahamas, The",22037.10801,21921.55906,21523.97372,28815.5274,28303.46729,28374.35794
Bosnia and Herzegovina,4701.334426,4614.829041,5054.325344,4722.013403,5042.582213,5204.243718
Belarus,5176.26383,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269
Belize,4258.788611,4344.150177,4516.24675,4673.63848,4688.538443,4852.223666
Bermuda,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,
Bolivia,1776.866476,1981.160705,2377.675918,2645.227753,2947.938526,3124.00031
Brazil,8553.38047,11224.15408,13167.47289,12291.46685,12216.90446,12026.61731
Barbados,15922.90013,15959.02979,16610.41835,16536.21464,16326.91348,16261.79932
Brunei Darussalam,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41530.66898
Bhutan,1770.234497,2178.921383,2458.045976,2422.008016,2350.882889,2504.717407
Botswana,5185.729845,6346.156204,7645.214612,7029.23145,7007.625786,7497.762378
Central African Republic,449.9601839,446.4434494,494.3306779,486.410114,337.4849614,377.1320274
Canada,40773.45436,47447.47602,52082.21076,52496.69487,52418.31506,50453.51535
Central Europe and the Baltics,12214.36412,12567.12831,13888.45317,13001.82296,13714.83569,14139.26943
